Testcase,Num,timestamp,End_detected,ASR_Result,TTS_Speak_directive,TTS_1st_data,TTS_1st_pcm_write,Dialog_Request_ID
4plus4,1,1672513542,4316,348,354,14,0,1d62dd9ce001df7975f0b1286c85d175
4plus4,2,1672513552,4314,357,305,15,0,1d62ddc3ee01df7975f0b128d42c815d
4plus4,3,1672513562,4313,353,382,13,0,1d62ddeafe01df7975f0b128becef17f
4plus4,4,1672513572,4314,375,302,15,0,1d62de120f01df7975f0b12872699934
4plus4,5,1672513582,4313,350,336,14,0,1d62de391e01df7975f0b128db0aaa9e
4plus4,1,1672536780,4317,402,330,188,1,1d6440334d0152458358f5323315e505
4plus4,2,1672536790,4315,412,392,14,1,1d64405a5b0152458358f532fc78f0f8
4plus4,3,1672536800,4314,396,323,13,1,1d6440816a0152458358f5325d2ef18e
4plus4,4,1672536810,4314,397,399,14,0,1d6440a87b0152458358f5322001d696
4plus4,5,1672536820,4314,387,361,14,1,1d6440cf8b0152458358f532f22df443
4plus4,1,1672556745,4318,337,315,131,0,1d6570d6af015115975ae5d578620db2
4plus4,2,1672556755,4315,372,294,15,0,1d6570fdbd015115975ae5d5d01d47f5
4plus4,3,1672556765,4315,340,421,15,0,1d657124cc015115975ae5d5d0e02db5
4plus4,4,1672556775,4315,347,333,14,0,1d65714bdc015115975ae5d5585a48de
4plus4,5,1672556785,4315,341,369,14,1,1d657172ec015115975ae5d5e469e50e
4plus4,1,1672578463,4316,355,328,150,0,1d66bc3c0801d83b24331458fb21b6c7
4plus4,2,1672578473,4314,348,394,13,0,1d66bc631501d83b2433145854565b56
4plus4,3,1672578483,4314,365,358,15,0,1d66bc8a2501d83b24331458f75886ec
4plus4,4,1672578493,4314,358,352,14,0,1d66bcb13501d83b2433145858124c66
4plus4,5,1672578503,4314,359,344,14,0,1d66bcd84501d83b24331458cc47d547
4plus4,1,1672599927,4316,393,399,14,0,1d6803c08601a1f7875585bb4eb2cf62
4plus4,2,1672599937,4314,397,288,14,0,1d6803e79501a1f7875585bb54bbca98
4plus4,3,1672599947,4314,382,411,14,0,1d68040ea501a1f7875585bbc341fc63
4plus4,4,1672599957,4314,408,318,14,0,1d680435b501a1f7875585bbaeaaf80d
4plus4,5,1672599967,4314,393,311,15,0,1d68045cc501a1f7875585bb9e69660a
4plus4,1,1672623149,4316,377,322,14,0,1d6966142e011866d76e36379ff8c0e3
4plus4,2,1672623159,4314,365,344,14,0,1d69663b3b011866d76e36378c2d0e03
4plus4,3,1672623169,4318,378,414,14,0,1d6966624c011866d76e3637bc68688d
4plus4,4,1672623179,4314,373,284,14,0,1d6966895b011866d76e36371ed32622
4plus4,5,1672623189,4314,374,314,14,0,1d6966b06c011866d76e36376f9af214
4plus4,1,1672643147,4316,379,288,149,0,1d6a973b94011eb1f776eb0015bc5881
4plus4,2,1672643157,4315,373,368,14,0,1d6a9762a2011eb1f776eb00a34dc4a0
4plus4,3,1672643167,4313,352,307,14,0,1d6a9789b2011eb1f776eb00b363e798
4plus4,4,1672643177,4314,366,304,14,0,1d6a97b0c2011eb1f776eb001b329663
4plus4,5,1672643187,4314,373,308,14,0,1d6a97d7d1011eb1f776eb00be690087
4plus4,1,1672664956,4316,398,312,14,0,1d6be400ca0135c0b058f0efd5cc85a1
4plus4,2,1672664966,4314,421,327,13,0,1d6be427d80135c0b058f0efdff0a161
4plus4,3,1672664976,4313,399,336,14,0,1d6be44ee70135c0b058f0efbfccfc44
4plus4,4,1672664986,4314,411,289,14,0,1d6be475f70135c0b058f0effebc0450
4plus4,5,1672664996,4314,407,317,15,0,1d6be49d080135c0b058f0efe8a88f29
4plus4,1,1672686310,4316,383,321,14,0,1d6d29d84d01ea2bab9127a24c8a0808
4plus4,2,1672686320,4314,387,322,14,0,1d6d29ff5b01ea2bab9127a2b1778431
