Testcase,Num,timestamp,End_detected,ASR_Result,TTS_Speak_directive,TTS_1st_data,TTS_1st_pcm_write,Dialog_Request_ID
date,1,1710313370,3306,345,598,183,0,262fe9386b017ce27cb670e65d1e77c0
date,2,1710313381,3305,343,635,85,0,262fe96361017ce27cb670e662f05015
date,3,1710313392,3304,315,335,75,0,262fe98e59017ce27cb670e60c05d076
date,4,1710313402,3305,323,502,84,0,262fe9b568017ce27cb670e64f7ced3c
date,5,1710313413,3304,328,336,82,0,262fe9e061017ce27cb670e6a7346206
date,1,1710334978,3306,327,708,175,0,263132edb5010dd3ac78a97e3ebc584b
date,2,1710334989,3305,323,507,80,0,26313318ab010dd3ac78a97e1c602d16
date,3,1710335000,3304,327,474,99,0,26313343a4010dd3ac78a97edc9f9513
date,4,1710335011,3304,315,648,96,0,2631336e9c010dd3ac78a97e6c1d6394
date,5,1710335022,3304,328,479,80,0,2631339994010dd3ac78a97e2c8e0c7c
date,1,1710356571,3306,332,775,178,0,26327c692a01ff89aa3069df2847dba7
date,2,1710356582,3305,327,592,88,1,26327c942101ff89aa3069df9a91e1cd
date,3,1710356593,3304,314,464,87,0,26327cbf1801ff89aa3069df01467822
date,4,1710356604,3304,328,627,83,0,26327cea1101ff89aa3069df50c8334f
date,5,1710356615,3304,331,391,82,0,26327d150901ff89aa3069dfe4f5694b
date,1,1710379379,3306,345,1597,191,0,2633d86fbf01e8a0ac369a83373d1a43
date,2,1710379390,3304,329,539,83,0,2633d89ab601e8a0ac369a83c46e4bf2
date,3,1710379401,3304,340,387,76,0,2633d8c5ae01e8a0ac369a835f3e90bd
date,4,1710379411,3304,333,540,83,0,2633d8ecbd01e8a0ac369a83ce49ac6c
date,5,1710379422,3304,340,359,81,0,2633d917b601e8a0ac369a8372913e0b
date,1,1710399803,3306,349,641,77,0,26351013c701f959f4a07ace6293d498
date,2,1710399814,3304,330,527,75,0,2635103ebf01f959f4a07acef1a2a2bd
date,3,1710399824,3304,330,317,85,0,26351065ce01f959f4a07aced6bcba74
date,4,1710399834,3304,353,510,83,0,2635108cde01f959f4a07acee74efbff
date,5,1710399845,3304,330,325,77,0,263510b7d701f959f4a07acecd5ef535
date,1,1710421378,3306,338,527,188,0,2636594ba501f9a6186f8b501dd68e6a
date,2,1710421389,3304,338,432,83,0,263659769b01f9a6186f8b50c11b385c
date,3,1710421399,3304,330,482,83,0,2636599daa01f9a6186f8b5024c44c7d
date,4,1710421409,3304,326,503,77,0,263659c4ba01f9a6186f8b50bddf02d2
date,5,1710421419,3304,329,347,82,0,263659ebca01f9a6186f8b50d8bed836
date,1,1710442983,3305,333,726,188,0,2637a2f5fd01c8f24dc027d0c90475a1
date,2,1710442994,3305,332,427,85,0,2637a320f401c8f24dc027d05eb8b4dd
date,3,1710443004,3304,327,645,84,0,2637a3480301c8f24dc027d027752281
date,4,1710443015,3304,330,334,88,0,2637a372fb01c8f24dc027d04e31aaca
date,5,1710443025,3304,332,397,84,0,2637a39a0b01c8f24dc027d0127c89a7
date,1,1710465822,3305,276,553,135,0,2638ff7285015d27f5898e845a5c50c4
date,2,1710465832,3304,266,408,83,0,2638ff9995015d27f5898e846748d7e3
date,3,1710465842,3304,277,531,75,0,2638ffc0a4015d27f5898e840654e31e
date,4,1710465852,3304,296,313,82,0,2638ffe7b4015d27f5898e8421e2344d
date,5,1710465862,3304,279,331,76,0,2639000ec4015d27f5898e84e8cf1e03
date,1,1710486180,3305,331,576,175,0,263a361596017e4c3eeb6dbfbc153d8a
date,2,1710486191,3304,316,434,75,0,263a36408d017e4c3eeb6dbf3e11597b
date,3,1710486201,3304,335,304,74,0,263a36679c017e4c3eeb6dbfd41b9099
date,4,1710486211,3304,316,503,84,0,263a368eac017e4c3eeb6dbf64058e99
date,5,1710486221,3304,316,305,82,0,263a36b5bb017e4c3eeb6dbf14370a4b
date,1,1710507834,3306,285,718,95,0,263b8080e2011c7786ca79f31f4812a0
